Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	atp-binding	5	27.77777777777778	0.02594842997024139	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	18	1326	19235	4.0294536618066035	0.8453611896301398	0.8453611896301398	23.88152526079381
GOTERM_MF_FAT	GO:0005524~ATP binding	5	27.77777777777778	0.03904358233324503	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1477	12983	3.380813499296912	0.9552402204605988	0.9552402204605988	34.378972600964396
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	5	27.77777777777778	0.04077414748017891	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1497	12983	3.335645650274909	0.9611108672123597	0.8027967221681134	35.61828422289194
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	5	27.77777777777778	0.04815753246584233	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1577	12983	3.1664309058094733	0.9787148830807024	0.7228645940881604	40.671198693566915
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	5	27.77777777777778	0.05051755722927548	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1601	12983	3.1189641089703555	0.9824619542375002	0.6360889024126481	42.20886418394102
GOTERM_MF_FAT	GO:0001882~nucleoside binding	5	27.77777777777778	0.051621733300439725	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1612	12983	3.097680855125024	0.9839836240443087	0.5625656828069372	42.915817664523246
UP_SEQ_FEATURE	domain:Fibronectin type-III 4	2	11.11111111111111	0.053759505118585404	OBSCN, CNTN2	18	62	19113	34.25268817204301	0.9999120453981918	0.9999120453981918	49.00656079576905
SP_PIR_KEYWORDS	nucleotide-binding	5	27.77777777777778	0.05559448819837106	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	18	1686	19235	3.16907209700804	0.9827712238585524	0.8687415673510932	44.7711653241345
UP_SEQ_FEATURE	domain:Fibronectin type-III 3	2	11.11111111111111	0.07134308226788333	OBSCN, CNTN2	18	83	19113	25.586345381526105	0.999996305587382	0.9980779145133478	59.427606431271286
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	5	27.77777777777778	0.0771988834769986	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1836	12983	2.719750293279705	0.9981014034711551	0.6481111976822664	57.25154597021397
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	5	27.77777777777778	0.0771988834769986	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1836	12983	2.719750293279705	0.9981014034711551	0.6481111976822664	57.25154597021397
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	5	27.77777777777778	0.08803141377249613	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1918	12983	2.6034731691666	0.9992441588215787	0.6418528438970226	62.27102807266759
