Annotation Cluster 1	Enrichment Score: 1.1174049051270663
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	atp-binding	5	27.77777777777778	0.02594842997024139	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	18	1326	19235	4.0294536618066035	0.8453611896301398	0.8453611896301398	23.88152526079381
GOTERM_MF_FAT	GO:0005524~ATP binding	5	27.77777777777778	0.03904358233324503	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1477	12983	3.380813499296912	0.9552402204605988	0.9552402204605988	34.378972600964396
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	5	27.77777777777778	0.04077414748017891	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1497	12983	3.335645650274909	0.9611108672123597	0.8027967221681134	35.61828422289194
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	5	27.77777777777778	0.04815753246584233	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1577	12983	3.1664309058094733	0.9787148830807024	0.7228645940881604	40.671198693566915
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	5	27.77777777777778	0.05051755722927548	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1601	12983	3.1189641089703555	0.9824619542375002	0.6360889024126481	42.20886418394102
GOTERM_MF_FAT	GO:0001882~nucleoside binding	5	27.77777777777778	0.051621733300439725	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1612	12983	3.097680855125024	0.9839836240443087	0.5625656828069372	42.915817664523246
SP_PIR_KEYWORDS	nucleotide-binding	5	27.77777777777778	0.05559448819837106	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	18	1686	19235	3.16907209700804	0.9827712238585524	0.8687415673510932	44.7711653241345
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	5	27.77777777777778	0.0771988834769986	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1836	12983	2.719750293279705	0.9981014034711551	0.6481111976822664	57.25154597021397
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	5	27.77777777777778	0.0771988834769986	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1836	12983	2.719750293279705	0.9981014034711551	0.6481111976822664	57.25154597021397
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	5	27.77777777777778	0.08803141377249613	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	1918	12983	2.6034731691666	0.9992441588215787	0.6418528438970226	62.27102807266759
GOTERM_MF_FAT	GO:0000166~nucleotide binding	5	27.77777777777778	0.13875677371959666	TRPM4, OBSCN, ZAP70, ATP11A, KIF19	13	2245	12983	2.224259037176632	0.9999912940955527	0.7669351729189042	79.40444116080292
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	3	16.666666666666664	0.20983459548690347	OBSCN, ZAP70, KIF19	18	962	19113	3.3113305613305615	1.0	1.0	94.3321316860667
GOTERM_CC_FAT	GO:0005886~plasma membrane	4	22.22222222222222	0.6756607829856394	TRPM4, OBSCN, ZAP70, CNTN2	12	3777	12782	1.1280557761892154	1.0	0.9999356472909874	99.99874280632706

Annotation Cluster 2	Enrichment Score: 0.4644579875120766
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	5	27.77777777777778	0.16798054289467454	NEDD1, ZNF540, KIF19, ZNRD1, HIST3H3	12	2596	12782	2.0515536723163845	0.9999838560816089	0.9999838560816089	84.16548366853728
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	5	27.77777777777778	0.16798054289467454	NEDD1, ZNF540, KIF19, ZNRD1, HIST3H3	12	2596	12782	2.0515536723163845	0.9999838560816089	0.9999838560816089	84.16548366853728
SP_PIR_KEYWORDS	nucleus	6	33.33333333333333	0.3225745011594883	CLCC1, ZNF540, ZNF471, RBM47, ZNRD1, HIST3H3	18	4283	19235	1.497003657872208	0.9999999999990201	0.9960350851463686	98.24417003089914
GOTERM_CC_FAT	GO:0031981~nuclear lumen	3	16.666666666666664	0.3597643388491986	ZNF540, ZNRD1, HIST3H3	12	1450	12782	2.203793103448276	0.999999999997599	0.9998660948704431	98.85394977512951
GOTERM_MF_FAT	GO:0003677~DNA binding	4	22.22222222222222	0.3685697764440904	ZNF540, ZNF471, ZNRD1, HIST3H3	13	2331	12983	1.7137577137577138	0.9999999999999998	0.9496366190837525	99.22753163969075
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	3	16.666666666666664	0.4656835828250413	ZNF540, ZNRD1, HIST3H3	12	1779	12782	1.7962338392355257	1.0	0.9999174004321828	99.8128934853701
GOTERM_CC_FAT	GO:0043233~organelle lumen	3	16.666666666666664	0.4783656308341632	ZNF540, ZNRD1, HIST3H3	12	1820	12782	1.7557692307692307	1.0	0.9995941230588073	99.85292470475602
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	3	16.666666666666664	0.48938546594393495	ZNF540, ZNRD1, HIST3H3	12	1856	12782	1.7217133620689657	1.0	0.9987951534917343	99.88125683980434
SP_PIR_KEYWORDS	dna-binding	3	16.666666666666664	0.5019845160124874	ZNF540, ZNF471, HIST3H3	18	1868	19235	1.7161848679514633	1.0	0.9959113263248207	99.92795053580075

Annotation Cluster 3	Enrichment Score: 0.3303170244549115
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
