"GO.ID" "Term" "Annotated" "Significant" "Expected" "Rank in classicFisher" "classicFisher" "classicKS" "elimKS"
"GO:0003674" "molecular_function" 15366 4 2.58 37 "0.256" "< 1e-30" "<1e-30"
"GO:0005488" "binding" 13091 4 2.2 29 "0.175" "< 1e-30" "<1e-30"
"GO:0005515" "protein binding" 9229 4 1.55 19 "0.067" "< 1e-30" "<1e-30"
"GO:0046872" "metal ion binding" 4485 3 0.75 13 "0.039" "3.1e-19" "<1e-30"
"GO:0003824" "catalytic activity" 5310 2 0.89 33 "0.224" "4.0e-21" "<1e-30"
"GO:0097159" "organic cyclic compound binding" 6239 1 1.05 52 "0.656" "2.8e-28" "<1e-30"
"GO:0042605" "peptide antigen binding" 18 0 0 53 "1.000" "7.8e-05" "<1e-30"
"GO:1901363" "heterocyclic compound binding" 6182 1 1.04 51 "0.652" "1.0e-27" "<1e-30"
"GO:0005001" "transmembrane receptor protein tyrosine ..." 98 0 0.02 54 "1.000" "1.1e-11" "<1e-30"
"GO:0003677" "DNA binding" 2833 0 0.48 55 "1.000" "2.4e-14" "<1e-30"
"GO:0046332" "SMAD binding" 128 0 0.02 56 "1.000" "1.8e-10" "<1e-30"
"GO:0003676" "nucleic acid binding" 4144 0 0.7 57 "1.000" "4.9e-19" "<1e-30"
"GO:0043565" "sequence-specific DNA binding" 1162 0 0.2 58 "1.000" "9.1e-08" "<1e-30"
"GO:0042288" "MHC class I protein binding" 10 0 0 59 "1.000" "0.0094" "<1e-30"
"GO:0046978" "TAP1 binding" 4 0 0 60 "1.000" "0.0240" "<1e-30"
"GO:0005005" "transmembrane-ephrin receptor activity" 15 0 0 61 "1.000" "4.6e-07" "<1e-30"
"GO:0032395" "MHC class II receptor activity" 4 0 0 62 "1.000" "0.0249" "<1e-30"
"GO:0001106" "RNA polymerase II transcription corepres..." 45 0 0.01 63 "1.000" "1.1e-07" "<1e-30"
"GO:0032041" "NAD-dependent histone deacetylase activi..." 24 0 0 64 "1.000" "2.5e-07" "<1e-30"
"GO:0046970" "NAD-dependent histone deacetylase activi..." 24 0 0 65 "1.000" "2.5e-07" "<1e-30"
