"log.fc"	"test.stat"	"p.value"	"q.value"
"chr2:54086776-54087266"	-1.83574351525266	-18.047901694622	1.42668034316688e-30	3.76372541330854e-26
"chr6:110679417-110679833"	-3.02774696458395	-16.365831978865	8.52989832050422e-28	9.71355753459272e-24
"chr7:750788-751237"	-1.2980622447818	-16.2997332872167	1.10460833947834e-27	9.71355753459272e-24
"chr4:110222970-110224257"	-2.06512001772585	-15.8339048009944	6.93790529371407e-27	4.54118733639856e-23
"chr2:139537692-139538650"	-1.7339213785859	-15.7797108442222	8.60692797164352e-27	4.54118733639856e-23
"chr8:145103285-145108027"	-1.93088256741775	-15.4388886572082	3.36777109389598e-26	1.48075282046783e-22
"chr5:134363092-134365146"	-1.59297658747555	-15.2119916684037	8.4207417320714e-26	3.17353696619679e-22
"chr13:36705040-36705707"	-1.38828451054325	-14.9075142309067	2.91014011852232e-25	8.40478271922455e-22
"chr20:61049361-61051897"	-2.34678398044541	-14.8902762512286	3.12289630972776e-25	8.40478271922455e-22
"chr16:87441387-87441671"	1.02301161913733	14.8799124773111	3.25828407211708e-25	8.40478271922455e-22
"chr6:62995855-62996228"	-3.09859725068194	-14.8621299562131	3.50451498849437e-25	8.40478271922455e-22
"chr11:47359953-47360216"	1.1935846965255	14.8229146615681	4.11587304115422e-25	9.04840389155746e-22
"chr5:17655252-17655723"	1.5502404058706	14.7887116834427	4.736300125759e-25	9.61141027828062e-22
"chr7:102920309-102921514"	-0.791757574274038	-14.669312623738	7.74119962765953e-25	1.45871848126633e-21
"chr18:67067509-67069168"	-1.59026120794745	-14.576922650916	1.13356926427742e-24	1.99364605072684e-21
"chr2:1052315-1052730"	1.17899328303553	14.4669795362774	1.78717203230741e-24	2.94671158651886e-21
"chr6:133562086-133563586"	-2.35534647963685	-14.3871532360744	2.48964271501103e-24	3.63387198437292e-21
"chr3:150496798-150497432"	0.592739842971272	14.3847252937453	2.51490383098318e-24	3.63387198437292e-21
"chr4:96469859-96470994"	-2.04295905187323	-14.3616619664486	2.768120113794e-24	3.63387198437292e-21
"chr9:42493567-42493824"	1.3450474476206	14.3567184312513	2.82565489991237e-24	3.63387198437292e-21
"chr4:176923075-176923630"	-2.13157013087159	-14.3384865888032	3.04845687508997e-24	3.63387198437292e-21
"chr2:95522598-95524188"	-0.897165419548733	-14.3305999875044	3.15024017343959e-24	3.63387198437292e-21
"chr5:54519054-54519628"	-1.73467539689017	-14.3292385948381	3.16815343014204e-24	3.63387198437292e-21
"chr2:210010093-210010367"	0.863517740606539	14.3069637832136	3.47625851106604e-24	3.82113232418472e-21
"chr4:157997166-157997686"	-1.82048169663767	-14.2165314291989	5.07019212740055e-24	5.35026954051815e-21
"chr11:74303529-74304040"	0.535658324330064	14.2046711008885	5.32788249248134e-24	5.40595646285193e-21
"chr15:28351606-28353102"	-2.23387062108554	-14.1231544001877	7.49443630789577e-24	7.32261941624438e-21
"chr17:48649161-48649371"	1.13000068395915	14.0536250247299	1.00326536531348e-23	9.45255128654818e-21
"chr10:94820026-94823252"	-1.13852388075324	-14.0409632358877	1.05806562736493e-23	9.62511355707385e-21
"chr2:172945911-172946212"	-1.76560948694481	-13.9744046348255	1.39980047166337e-23	1.19645604705837e-20
"chr8:97172634-97173880"	-2.46062955156394	-13.9733647162489	1.40594130089115e-23	1.19645604705837e-20
"chr1:1476093-1476669"	-1.61603244055783	-13.9449138740921	1.58489351043713e-23	1.30659611558881e-20
"chr19:12266998-12267686"	-3.23804340405217	-13.9266455645206	1.71172240164066e-23	1.36839238417219e-20
"chr9:132382432-132383004"	-1.76498698042914	-13.9108014086172	1.82997248173485e-23	1.39216697274837e-20
"chr2:98350984-98351257"	0.798312906892282	13.9086045669046	1.84700519488241e-23	1.39216697274837e-20
"chr21:10884732-10885087"	0.682944806305676	13.8963916553363	1.94464803160019e-23	1.42504888115679e-20
"chr9:139634062-139634281"	1.21205161068463	13.8758480456455	2.12076692739318e-23	1.51210681923134e-20
"chr1:16085147-16085862"	-1.96993568816253	-13.8610111037237	2.2578746781228e-23	1.56115291008193e-20
"chr2:242794853-242795083"	1.96609613886503	13.8514663297782	2.35076140089946e-23	1.56115291008193e-20
