"log.fc"	"test.stat"	"p.value"	"q.value"
"chr14:21924242-21924568"	0.430678005308706	8.81737600443036	2.49991805742832e-14	6.59128395021551e-10
"chr19:49255778-49256495"	0.800447471972018	8.64736639725205	5.99954251319844e-14	7.9091968951495e-10
"chr19:7267384-7267688"	0.367021239571726	8.50308056276785	1.25867794255915e-13	9.30868084631339e-10
"chr18:77515844-77516144"	0.516621335563487	8.44665299861345	1.68083063160664e-13	9.30868084631339e-10
"chr5:140222122-140223108"	-0.901657758643459	-8.4370825828377	1.76528120426181e-13	9.30868084631339e-10
"chr3:170625831-170626841"	-0.309976888631526	-8.32059016120916	3.20343671812964e-13	1.4076968751701e-09
"chr11:63993589-63993834"	0.591815311131203	8.26048301196075	4.35405021595109e-13	1.55275876136787e-09
"chr14:25518424-25519612"	0.385850387770567	8.24502026851788	4.71139728853181e-13	1.55275876136787e-09
"chr20:62209387-62209643"	1.09228349562395	8.15359157323176	7.5066126433785e-13	2.19910387728131e-09
"chr16:33938460-33939355"	-0.570461174335847	-8.1072804399794	9.50030944074131e-13	2.45705955341886e-09
"chr1:233497707-233497917"	0.542550400309294	8.08837349786262	1.04584029054253e-12	2.45705955341886e-09
"chr4:40439821-40440905"	0.403689165163944	8.07518843622526	1.11828546768665e-12	2.45705955341886e-09
"chr11:69285724-69286479"	-0.485253597686162	-8.0470326397819	1.29012828905568e-12	2.46624223531436e-09
"chr21:46387051-46387302"	-0.537342625234884	-8.04408949015325	1.30954226255029e-12	2.46624223531436e-09
"chr19:13124569-13124788"	-1.39459170118844	-8.00708187219962	1.57993575592098e-12	2.77710574270751e-09
"chr17:72667195-72667710"	-0.469473137809376	-7.95211708311224	2.08719150481395e-12	3.43943070099528e-09
"chr2:242760681-242760886"	0.766689517212931	7.92400756703669	2.40619647692127e-12	3.73186919473565e-09
"chr1:43738484-43738829"	0.341897540289993	7.89608730944036	2.77098695246669e-12	4.05888011048538e-09
"chr4:52942978-52943248"	-0.795215220425056	-7.79903494065578	4.52202664687416e-12	6.27514497744654e-09
"chr16:90000351-90000687"	0.752784302053227	7.78681046408564	4.80927289227434e-12	6.34006445388526e-09
"chr11:61544727-61545563"	-0.530841447815829	-7.76493137496263	5.36937536067526e-12	6.74137860759828e-09
"chr20:62288941-62290058"	-0.458784042618587	-7.73497351622795	6.24281667967737e-12	7.4817320261988e-09
"chr7:143892574-143893109"	0.792344128856306	7.69354992784578	7.68750238964621e-12	8.4611662153293e-09
"chr14:50863088-50863563"	0.348997784770814	7.68410542543452	8.06083748014759e-12	8.4611662153293e-09
"chr3:50230430-50232344"	0.390122810543153	7.67947091903169	8.25056932855046e-12	8.4611662153293e-09
"chr17:19247785-19248069"	0.907568718688825	7.67723435435443	8.34371241745285e-12	8.4611662153293e-09
"chr5:140263085-140264154"	-0.805536099418526	-7.65830633162517	9.17498291165527e-12	8.95954072032233e-09
"chr4:49526390-49526686"	-0.429837298262781	-7.60056561771809	1.22536122399079e-11	1.15385264399075e-08
"chr6:4079052-4079443"	-0.437982924740468	-7.56519044350765	1.46260019881701e-11	1.29369989221674e-08
"chr11:50257255-50257772"	-0.398010729731141	-7.55965316764703	1.5036545545886e-11	1.29369989221674e-08
"chr19:52954461-52954845"	-0.819107381479076	-7.55337644126668	1.55157630251489e-11	1.29369989221674e-08
"chr17:47652789-47653078"	0.637025719901792	7.54845606505035	1.59020018550274e-11	1.29369989221674e-08
"chr19:11773063-11773405"	0.340581161116198	7.54483782924278	1.61921021175576e-11	1.29369989221674e-08
"chr17:80790368-80790581"	-0.30626145004446	-7.4989256119525	2.03630030421249e-11	1.57909099473137e-08
"chr14:47120868-47121159"	-0.311655296582322	-7.47528695061819	2.29100286928446e-11	1.7258451900444e-08
"chr1:179198163-179199200"	0.286515538309675	7.46107418573716	2.4591118217141e-11	1.80102617475872e-08
"chr9:77702885-77703819"	0.364326679486011	7.44155438944297	2.71011149765265e-11	1.93121080397594e-08
