"log.fc"	"test.stat"	"p.value"	"q.value"
"chr16:19127121-19127324"	-0.444057243979856	-8.77485835301781	4.55235346999654e-11	1.20141160426679e-06
"chr2:220406363-220406840"	0.825897532863772	8.50817860285971	1.05754519925414e-10	1.3954837676758e-06
"chr8:80695830-80696458"	0.531899084187097	8.11702548944783	3.69118855206384e-10	3.24713856925056e-06
"chr2:241185136-241185374"	-0.315139096433666	-7.6147792329693	1.87746587645146e-09	1.23870504863576e-05
"chr16:88953219-88953445"	-0.467116484017266	-7.08102314150512	1.08103907145183e-08	5.48997903515055e-05
"chr1:228565949-228567121"	0.342961749535229	7.00608914464491	1.38422124556887e-08	5.48997903515055e-05
"chr5:139227605-139228279"	0.433675834164417	6.99074044718861	1.45617268182539e-08	5.48997903515055e-05
"chr4:1333378-1333676"	0.18519424829411	6.87035222957888	2.16772414741718e-08	7.15105099681086e-05
"chr21:45622218-45622500"	-0.309914994283626	-6.69662179633097	3.85335308863726e-08	0.00011299315706914
"chr20:62398409-62398990"	-0.427787022113554	-6.654002063085	4.43815152308384e-08	0.000117127256845706
"chr11:121028572-121028927"	0.271662424673518	6.58713945688171	5.54011743451931e-08	0.000132917490194908
"chr6:423846-424313"	0.29418735796746	6.49023787197841	7.64184176525648e-08	0.000168063205022403
"chr5:176520157-176520622"	-0.346426035043132	-6.40320412059008	1.02029218038939e-07	0.000207127161020435
"chr10:126303794-126304213"	0.23269649958709	6.36257327371264	1.16773036339223e-07	0.000207173210092136
"chr6:75911579-75912133"	0.352301568892048	6.34313381015151	1.24563500449907e-07	0.000207173210092136
"chr3:43405419-43405625"	-0.26149951303189	-6.32512331220664	1.32244824597293e-07	0.000207173210092136
"chr17:74533281-74534566"	-0.255774161237147	-6.3223872973075	1.33452486513065e-07	0.000207173210092136
"chr7:102105123-102105782"	-0.434770642529984	-6.27897557801231	1.54159949916866e-07	0.000214710599472233
"chr17:44337401-44337926"	0.206260705560902	6.27815811595493	1.54579265278786e-07	0.000214710599472233
