ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	SP_PIR_KEYWORDS	UP_SEQ_FEATURE
ATP11A	ATPase, class VI, type 11A	Homo sapiens				GO:0006163~purine nucleotide metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006754~ATP biosynthetic process,GO:0006869~lipid transport,GO:0009141~nucleoside triphosphate metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,GO:0009144~purine nucleoside triphosphate metabolic process,GO:0009145~purine nucleoside triphosphate biosynthetic process,GO:0009150~purine ribonucleotide metabolic process,GO:0009152~purine ribonucleotide biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009199~ribonucleoside triphosphate metabolic process,GO:0009201~ribonucleoside triphosphate biosynthetic process,GO:0009205~purine ribonucleoside triphosphate metabolic process,GO:0009206~purine ribonucleoside triphosphate biosynthetic process,GO:0009259~ribonucleotide metabolic process,GO:0009260~ribonucleotide biosynthetic process,GO:0010876~lipid localization,GO:0015914~phospholipid transport,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0044271~nitrogen compound biosynthetic process,GO:0046034~ATP metabolic process,	GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005319~lipid transporter activity,GO:0005524~ATP binding,GO:0005548~phospholipid transporter activity,GO:0015247~aminophospholipid transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042625~ATPase activity, coupled to transmembrane movement of ions,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,	IPR001757:ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter,IPR006539:ATPase, P-type, phospholipid-translocating, flippase,IPR008250:ATPase, P-type, ATPase-associated region,IPR018303:ATPase, P-type phosphorylation site,					atp-binding,complete proteome,hydrolase,magnesium,membrane,metal-binding,nucleotide-binding,phosphoprotein,polymorphism,transmembrane,	active site:4-aspartylphosphate intermediate,chain:Probable phospholipid-transporting ATPase IH,metal ion-binding site:Magnesium,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
RBM47	RNA binding motif protein 47	Homo sapiens						GO:0003723~RNA binding,	IPR000504:RNA recognition motif, RNP-1,IPR006535:HnRNP R and Q splicing factor,				SM00360:RRM,	3d-structure,alternative splicing,complete proteome,nucleus,polymorphism,repeat,rna-binding,	chain:RNA-binding protein 47,compositionally biased region:Ala-rich,domain:RRM 1,domain:RRM 2,domain:RRM 3,helix,sequence conflict,sequence variant,splice variant,strand,turn,
TBC1D2	TBC1 domain family, member 2	Homo sapiens				GO:0032313~regulation of Rab GTPase activity,GO:0032318~regulation of Ras GTPase activity,GO:0032483~regulation of Rab protein signal transduction,GO:0043087~regulation of GTPase activity,GO:0046578~regulation of Ras protein signal transduction,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051336~regulation of hydrolase activity,		GO:0005083~small GTPase regulator activity,GO:0005096~GTPase activator activity,GO:0005097~Rab GTPase activator activity,GO:0005099~Ras GTPase activator activity,GO:0008047~enzyme activator activity,GO:0030695~GTPase regulator activity,GO:0060589~nucleoside-triphosphatase regulator activity,	IPR000195:RabGAP/TBC,IPR001849:Pleckstrin homology,IPR011993:Pleckstrin homology-type,				SM00164:TBC,SM00233:PH,	3d-structure,complete proteome,GTPase activation,phosphoprotein,polymorphism,	chain:TBC1 domain family member 2A,domain:PH,domain:Rab-GAP TBC,helix,modified residue,sequence conflict,sequence variant,strand,turn,
CLCC1	chloride channel CLIC-like 1	Homo sapiens				GO:0006811~ion transport,GO:0006820~anion transport,GO:0006821~chloride transport,GO:0015698~inorganic anion transport,	GO:0000267~cell fraction,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0005783~endoplasmic reticulum,GO:0005792~microsome,GO:0005794~Golgi apparatus,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0042598~vesicular fraction,	GO:0005216~ion channel activity,GO:0005253~anion channel activity,GO:0005254~chloride channel activity,GO:0008509~anion transmembrane transporter activity,GO:0015267~channel activity,GO:0022803~passive transmembrane transporter activity,GO:0022838~substrate specific channel activity,	IPR009231:Mid-1-related chloride channel,					alternative splicing,complete proteome,endoplasmic reticulum,golgi apparatus,membrane,nucleus,phosphoprotein,polymorphism,signal,transmembrane,	chain:Chloride channel CLIC-like protein 1,modified residue,sequence variant,signal peptide,splice variant,transmembrane region,
CNTN2	contactin 2 (axonal)	Homo sapiens				GO:0000902~cell morphogenesis,GO:0000904~cell morphogenesis involved in differentiation,GO:0001764~neuron migration,GO:0006928~cell motion,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007409~axonogenesis,GO:0016477~cell migration,GO:0022610~biological adhesion,GO:0030030~cell projection organization,GO:0030182~neuron differentiation,GO:0031175~neuron projection development,GO:0031589~cell-substrate adhesion,GO:0032989~cellular component morphogenesis,GO:0032990~cell part morphogenesis,GO:0048666~neuron development,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0048812~neuron projection morphogenesis,GO:0048858~cell projection morphogenesis,GO:0048870~cell motility,GO:0051674~localization of cell,	GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0009986~cell surface,GO:0016021~integral to membrane,GO:0030424~axon,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,GO:0031226~intrinsic to plasma membrane,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0044459~plasma membrane part,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like,IPR008957:Fibronectin, type III-like fold,IPR013098:Immunoglobulin I-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,	hsa04514:Cell adhesion molecules (CAMs),		PIRSF005452:contactin,	SM00060:FN3,SM00408:IGc2,SM00409:IG,	3d-structure,cell adhesion,cell membrane,complete proteome,direct protein sequencing,disulfide bond,glycoprotein,gpi-anchor,Immunoglobulin domain,lipoprotein,membrane,polymorphism,repeat,signal,	chain:Contactin-2,compositionally biased region:Gly/Pro-rich,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,domain:Ig-like C2-type 6,glycosylation site:N-linked (GlcNAc...),helix,lipid moiety-binding region:GPI-anchor amidated asparagine,propeptide:Removed in mature form,sequence variant,short sequence motif:Cell attachment site,signal peptide,strand,
DIAPH3	diaphanous homolog 3 (Drosophila)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0030029~actin filament-based process,GO:0030036~actin cytoskeleton organization,		GO:0003779~actin binding,GO:0008092~cytoskeletal protein binding,GO:0017016~Ras GTPase binding,GO:0017048~Rho GTPase binding,GO:0019899~enzyme binding,GO:0031267~small GTPase binding,GO:0051020~GTPase binding,	IPR010465:DRF autoregulatory,IPR010472:Diaphanous FH3,IPR010473:Diaphanous GTPase-binding,IPR014767:Diaphanous autoregulatory,IPR014768:GTPase-binding/formin homology 3,IPR015425:Actin-binding FH2,	hsa04810:Regulation of actin cytoskeleton,				alternative splicing,coiled coil,complete proteome,isopeptide bond,polymorphism,repeat,ubl conjugation,	chain:Protein diaphanous homolog 3,compositionally biased region:Pro-rich,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),domain:DAD,domain:FH1,domain:FH2,domain:GBD/FH3,sequence conflict,sequence variant,splice variant,
FAM71E2	family with sequence similarity 71, member E2	Homo sapiens												complete proteome,	chain:Protein FAM71E2,chain:Putative uncharacterized protein DKFZp434G1729,
HIST3H3	histone cluster 3, H3	Homo sapiens				GO:0006323~DNA packaging,GO:0006325~chromatin organization,GO:0006333~chromatin assembly or disassembly,GO:0006334~nucleosome assembly,GO:0031497~chromatin assembly,GO:0034621~cellular macromolecular complex subunit organization,GO:0034622~cellular macromolecular complex assembly,GO:0034728~nucleosome organization,GO:0043933~macromolecular complex subunit organization,GO:0051276~chromosome organization,GO:0065003~macromolecular complex assembly,GO:0065004~protein-DNA complex assembly,	GO:0000785~chromatin,GO:0000786~nucleosome,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0031974~membrane-enclosed lumen,GO:0031981~nuclear lumen,GO:0032993~protein-DNA complex,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0043233~organelle lumen,GO:0044427~chromosomal part,GO:0070013~intracellular organelle lumen,	GO:0003677~DNA binding,	IPR000164:Histone H3,IPR007125:Histone core,IPR009072:Histone-fold,	hsa05322:Systemic lupus erythematosus,		PIRSF002051:histone H3,	SM00428:H3,	3d-structure,acetylation,chromosomal protein,citrullination,complete proteome,dna-binding,methylation,nucleosome core,nucleus,phosphoprotein,ubl conjugation,	chain:Histone H3.1t,helix,modified residue,
KIF19	kinesin family member 19	Homo sapiens				GO:0007017~microtubule-based process,GO:0007018~microtubule-based movement,	GO:0005856~cytoskeleton,GO:0005874~microtubule,GO:0015630~microtubule cytoskeleton,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044430~cytoskeletal part,	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003774~motor activity,GO:0003777~microtubule motor activity,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,	IPR001752:Kinesin, motor region,IPR019821:Kinesin, motor region, conserved site,				SM00129:KISc,	alternative splicing,atp-binding,coiled coil,complete proteome,microtubule,motor protein,nucleotide-binding,polymorphism,	chain:Kinesin-like protein KIF19,domain:Kinesin-motor,nucleotide phosphate-binding region:ATP,sequence variant,splice variant,
NEDD1	neural precursor cell expressed, developmentally down-regulated 1	Homo sapiens				GO:0000087~M phase of mitotic cell cycle,GO:0000278~mitotic cell cycle,GO:0000279~M phase,GO:0000280~nuclear division,GO:0007049~cell cycle,GO:0007067~mitosis,GO:0022402~cell cycle process,GO:0022403~cell cycle phase,GO:0048285~organelle fission,GO:0051301~cell division,	GO:0000242~pericentriolar material,GO:0000922~spindle pole,GO:0005813~centrosome,GO:0005814~centriole,GO:0005815~microtubule organizing center,GO:0005819~spindle,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005932~microtubule basal body,GO:0015630~microtubule cytoskeleton,GO:0042995~cell projection,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044430~cytoskeletal part,GO:0044450~microtubule organizing center part,GO:0044463~cell projection part,GO:0045177~apical part of cell,		IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,				SM00320:WD40,	cell cycle,cell division,complete proteome,cytoplasm,cytoskeleton,mitosis,phosphoprotein,repeat,wd repeat,	chain:Protein NEDD1,modified residue,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,repeat:WD 8,sequence conflict,
