"log.fc"	"test.stat"	"p.value"	"q.value"
"chr8:145103285-145108027"	-1.87372615378883	-17.5927080448109	3.7312971852474e-33	9.84017693693444e-29
"chr17:27939298-27940770"	-1.27334013511465	-15.0825420258037	4.32411361911033e-28	5.70177621815889e-24
"chr1:1476093-1476669"	-1.43226859481065	-14.9646094773263	7.62256659302526e-28	6.70074420637541e-24
"chr8:67344497-67344989"	-2.20610311227467	-14.6169155913857	4.09365334316216e-27	2.69894564914681e-23
"chr2:210010093-210010367"	0.865965179361589	14.415097645597	1.09303568684574e-26	5.76510742669916e-23
"chr21:10884732-10885087"	0.680828119707991	14.1144268572705	4.76198386064395e-26	2.09305063954837e-22
"chr4:81109887-81110460"	-1.298773675401	-14.058596894373	6.26541315197476e-26	2.36044965205541e-22
"chr6:41604583-41606663"	-0.780747706641147	-13.9931594151127	8.6458245309721e-26	2.85009605663495e-22
"chr12:104323017-104324811"	0.51573590038427	13.8689645987111	1.59513789957191e-25	4.6741085208345e-22
"chr7:27147589-27148389"	-1.73308928478798	-13.6041866333114	5.91925886669094e-25	1.56102694832373e-21
"chr2:100937779-100939059"	-1.52710718027612	-13.2611673455301	3.27105958691169e-24	7.58349516473278e-21
"chr20:59826977-59828978"	-1.46775257660005	-13.2504774429192	3.45070309331084e-24	7.58349516473278e-21
"chr18:67067509-67069168"	-1.2553163414001	-13.1790643912964	4.93339359259407e-24	1.00079581402993e-20
"chr2:54086776-54087266"	-1.2856644529094	-13.1101580462297	6.9684859768565e-24	1.31266365844043e-20
"chr12:64061836-64062774"	-2.2276582848244	-13.0957543786212	7.49060350038224e-24	1.31694797008054e-20
"chr10:47769351-47769603"	3.52822062256767	13.0425235794566	9.78485820167395e-24	1.43835640347976e-20
"chr19:6534759-6535079"	-1.07559490790625	-13.0353061722742	1.01460437778874e-23	1.43835640347976e-20
"chr1:24306363-24307017"	0.664231759519693	13.0324681588022	1.02917073793103e-23	1.43835640347976e-20
"chr3:142837885-142840838"	-1.49485814691928	-13.0310976778027	1.03627982959637e-23	1.43835640347976e-20
"chr20:41817475-41819212"	-1.5953358925178	-12.9913175926235	1.26557581501722e-23	1.66878826968171e-20
"chr15:28351606-28353102"	-1.97643089015993	-12.8339714204473	2.79438527793716e-23	3.5092156452266e-20
"chr7:151106244-151107808"	-0.792886111534435	-12.6184542338957	8.2991599895393e-23	9.94842942018775e-20
"chr11:47359953-47360216"	0.912597921114578	12.5799464740554	1.00852912429774e-22	1.15638826373826e-19
"chr22:48970857-48972947"	-1.44152975254618	-12.5427194116738	1.21780999155382e-22	1.33817021238572e-19
"chr7:127671158-127672853"	-1.56621327242853	-12.5285023522907	1.30878190420665e-22	1.38060785510951e-19
"chr6:84417597-84419378"	-1.79633290897506	-12.4924358266471	1.57134896285266e-22	1.59383134032117e-19
"chr2:115918737-115920765"	-1.87433049928777	-12.3857866048895	2.69990931172182e-22	2.637111421064e-19
"chr22:39853323-39854065"	-1.28853689281306	-12.3722418012657	2.8922347160178e-22	2.72407192610077e-19
"chr7:27146069-27146600"	-1.22175437533864	-12.2971634620922	4.23640207938131e-22	3.85249640129117e-19
"chr6:62995855-62996228"	-2.47049844934521	-12.2717834951433	4.82033077709475e-22	4.23739210845143e-19
"chr17:33416129-33416578"	0.883791385049133	12.2293912118116	5.98130142374071e-22	5.08835100473838e-19
"chr6:41606994-41607238"	-1.94688169309978	-12.2170317073849	6.36987441006817e-22	5.24957274819743e-19
"chr20:25061761-25062928"	-1.78640715479823	-12.2017580188502	6.88522781160246e-22	5.50234023780546e-19
"chr1:200010625-200010832"	-1.8749365941137	-12.1651335661918	8.29789625015312e-22	6.43623882085406e-19
"chr2:139537692-139538650"	-1.39916399636982	-12.0795734258862	1.28375644319245e-21	9.67292140567749e-19
"chr7:750788-751237"	-1.03297758323749	-12.0637093975944	1.39202521218913e-21	1.01973580266255e-18
"chr7:5340144-5340354"	1.12964846982448	12.0517968899167	1.47930527068946e-21	1.04128006095188e-18
"chr8:67873388-67875600"	-1.96280303294738	-12.0490231068128	1.50040354604017e-21	1.04128006095188e-18
"chr20:3218578-3220930"	-0.764781905476197	-12.0151353403828	1.7838836981866e-21	1.20627130483531e-18
"chr19:49669275-49669552"	-1.38493367221698	-11.9894186671507	2.03435385211929e-21	1.34124949470225e-18
"chr2:45231781-45232550"	-1.80920038586744	-11.9471898267065	2.52445511408651e-21	1.62377878704121e-18
"chr8:97172634-97173880"	-2.01740462906551	-11.9162235399983	2.95761875910862e-21	1.85710290274316e-18
"chr7:63028071-63028337"	0.958262819044872	11.8854435138096	3.46203556186586e-21	2.12327446133782e-18
"chr1:16085147-16085862"	-1.71039938153314	-11.8659311951563	3.82560364670053e-21	2.25822699390702e-18
"chr16:1992668-1993646"	0.607946240446724	11.8645199617597	3.85333743082875e-21	2.25822699390702e-18
"chr14:102247660-102248279"	-2.0772549895121	-11.8458606407299	4.23956036995775e-21	2.43055839296795e-18
"chr17:43339124-43339832"	-2.18771898588993	-11.7971389462851	5.44110940446865e-21	3.05304121733292e-18
"chr15:48936810-48938577"	-1.46406708727488	-11.7616202749934	6.52725669471612e-21	3.57469549411207e-18
"chr7:56949864-56950322"	0.740029146979844	11.7582233522582	6.64189592035081e-21	3.57469549411207e-18
"chr10:108923780-108924805"	-1.23840866779741	-11.7505343788423	6.90889375632764e-21	3.57695627703775e-18
"chr7:38670439-38671008"	-1.47169147113553	-11.7502953064211	6.917365771611e-21	3.57695627703775e-18
"chr7:601121-601729"	-0.970053608042358	-11.7235329487793	7.93468188560503e-21	4.02410443629184e-18
"chr8:103750881-103751088"	1.21221285487827	11.7102113116274	8.49569105911943e-21	4.22732763417165e-18
"chr11:7272757-7274235"	-1.37239417033281	-11.6781837998546	1.00126353651621e-20	4.88987444166767e-18
"chr4:110222970-110224257"	-1.52503252309941	-11.6707053815699	1.04042922410768e-20	4.9887635451214e-18
"chr8:7468774-7469308"	1.13656496668577	11.6513116607273	1.14930294059409e-20	5.41239591952632e-18
"chr6:391188-393790"	-1.63006220753123	-11.5780613652372	1.6740713500606e-20	7.74537011294706e-18
"chr10:101089010-101090655"	-0.789984681672421	-11.5732337055067	1.71610542799876e-20	7.80295385296264e-18
"chr7:27143181-27143479"	-1.65792866803943	-11.5261377558883	2.1859546105114e-20	9.77084660820452e-18
"chr1:235805318-235805771"	1.24246896771244	11.4767590958233	2.81768039683282e-20	1.23846445708792e-17
"chr7:5360640-5360869"	0.40572563511138	11.4298898132458	3.58586779441079e-20	1.55027058154429e-17
"chr10:72043446-72043886"	-0.883739030586937	-11.4113337911095	3.94513152867516e-20	1.67808078506809e-17
